Rank,Player,Age,Elo,Hard,Clay,Grass,Peak Match,Peak Age,Peak Elo
40,Reilly Opelka,21.5,1817.2,1733.7,1647.7,1424.8,2019 Delray Beach R16,21.5,1826.9
41,Martin Klizan,29.6,1817.0,1721.4,1738.0,1351.8,2015 Barcelona SF,25.8,1892.3
42,John Millman,29.7,1816.7,1723.7,1645.8,1558.5,2018 Stockholm R16,29.3,1837.5
43,Pierre Hugues Herbert,27.9,1813.6,1732.0,1412.0,1539.5,2019 Montpellier F,27.9,1828.7
44,Mikhail Kukushkin,31.1,1808.9,1729.2,1584.6,1485.6,2015 Sydney F,27.0,1849.4
45,Taylor Harry Fritz,21.3,1805.4,1730.5,1541.5,1343.1,2018 Lyon QF,20.6,1831.4
46,Feliciano Lopez,37.4,1802.6,1663.8,1721.6,1755.3,2014 Shanghai Masters SF,33.0,1946.1
47,Daniel Evans,28.8,1797.0,1727.9,1408.1,1590.3,2017 Australian Open R16,26.7,1824.4
48,Aljaz Bedene,29.6,1794.1,1639.6,1792.4,1535.9,2017 Wimbledon R32,28.0,1877.6
49,Jeremy Chardy,32.0,1791.0,1676.6,1682.4,1666.3,2009 Cincinnati Masters R16,22.5,1897.3
50,Filip Krajinovic,27.0,1790.8,1669.5,1804.4,1397.8,2018 Miami Masters R16,26.1,1855.0
51,Guido Pella,28.8,1789.7,1542.4,1816.6,1500.8,2016 Indian Wells Masters R32,25.8,1818.2
52,Matteo Berrettini,22.9,1784.1,1655.5,1760.4,1511.8,2018 Winston Salem R16,22.4,1852.3
53,Francis Tiafoe,21.1,1781.8,1679.1,1628.9,1596.1,2018 Estoril F,20.3,1861.6
54,Andreas Seppi,35.0,1781.4,1701.6,1647.1,1615.0,2013 Australian Open R16,28.9,1906.1
55,Andrey Rublev,21.3,1780.7,1693.8,1587.2,1458.1,2018 Rotterdam QF,20.3,1914.7
56,Jan Lennard Struff,28.8,1778.6,1661.9,1651.3,1439.3,2018 Basel R16,28.5,1819.0
57,Bernard Tomic,26.3,1763.5,1684.4,1536.8,1662.0,2016 Australian Open R16,23.2,1946.2
58,Marco Cecchinato,26.4,1757.7,1407.8,1792.2,1468.3,2018 Hamburg R32,25.8,1827.8
59,Christian Garin,22.7,1756.1,1518.1,1742.6,1354.0,2018 Brisbane Qual,22.6,1770.4
60,Laslo Djere,23.7,1754.1,1324.5,1817.3,1312.1,2019 Sao Paulo SF,23.7,1768.5
61,Peter Gojowczyk,29.6,1753.6,1650.2,1537.1,1498.8,2018 Delray Beach F,28.6,1810.2
62,Thanasi Kokkinakis,22.7,1753.4,1680.4,1633.6,1397.2,2015 London R16,19.2,1865.7
63,Cameron Norrie,23.5,1753.3,1702.6,1541.5,1331.5,2017 Las Vegas CH R16,22.1,1779.0
64,Steve Johnson,29.2,1751.5,1625.9,1765.9,1674.5,2017 Geneva QF,27.4,1931.6
65,Yoshihito Nishioka,23.4,1749.8,1692.3,1413.0,1312.5,2018 Traralgon CH F,23.1,1800.7
66,Radu Albot,29.3,1748.8,1692.4,1522.1,1440.6,2019 Delray Beach F,29.3,1736.2
67,Benoit Paire,29.8,1748.7,1632.2,1685.7,1582.8,2016 Chennai SF,26.7,1904.7
